t_sec,iso_time,0C_rpm,03_fuelsys,05_ect,0B_map,04_load,0E_adv,14_o2,0F_iat,06_stft,07_ltft,42_volt,11_tps,0D_speed,raw
45.33,2026-08-30T09:33:55.804,0.0,0100,,,,,1.275,,,,,,,0C=0000;03=0100;14=FF80
45.9,2026-08-30T09:33:56.374,0.0,0100,,,,,,23,,,,,,0C=0000;03=0100;0F=3F
46.441,2026-08-30T09:33:56.914,0.0,0100,,,,,,,0.0,,,,,0C=0000;03=0100;06=80
46.98,2026-08-30T09:33:57.454,0.0,0100,,,,,,,,0.0,,,,0C=0000;03=0100;07=80
47.522,2026-08-30T09:33:57.995,0.0,0100,,,,,,,,,11.6,,,0C=0000;03=0100;42=2D50
48.06,2026-08-30T09:33:58.534,0.0,0100,,,,,,,,,,10.196,,0C=0000;03=0100;11=1A
48.6,2026-08-30T09:33:59.074,0.0,0100,,,,,,,,,,,0,0C=0000;03=0100;0D=00
49.17,2026-08-30T09:33:59.644,0.0,0100,22,,,,,,,,,,,0C=0000;03=0100;05=3E
49.711,2026-08-30T09:34:00.184,0.0,0100,,98,,,,,,,,,,0C=0000;03=0100;0B=62
50.28,2026-08-30T09:34:00.754,0.0,0100,,,0.0,,,,,,,,,0C=0000;03=0100;04=00
50.94,2026-08-30T09:34:01.414,0.0,0100,,,,0.0,,,,,,,,0C=0000;03=0100;0E=80
51.48,2026-08-30T09:34:01.954,0.0,0100,,,,,1.275,,,,,,,0C=0000;03=0100;14=FF80
52.05,2026-08-30T09:34:02.524,0.0,0100,,,,,,23,,,,,,0C=0000;03=0100;0F=3F
52.652,2026-08-30T09:34:03.125,0.0,0100,,,,,,,0.0,,,,,0C=0000;03=0100;06=80
53.251,2026-08-30T09:34:03.724,0.0,0100,,,,,,,,0.0,,,,0C=0000;03=0100;07=80
53.822,2026-08-30T09:34:04.296,0.0,0100,,,,,,,,,11.6,,,0C=0000;03=0100;42=2D50
54.391,2026-08-30T09:34:04.865,0.0,0100,,,,,,,,,,10.196,,0C=0000;03=0100;11=1A
54.962,2026-08-30T09:34:05.435,0.0,0100,,,,,,,,,,,0,0C=0000;03=0100;0D=00
55.53,2026-08-30T09:34:06.004,0.0,0100,22,,,,,,,,,,,0C=0000;03=0100;05=3E
56.1,2026-08-30T09:34:06.574,0.0,0100,,98,,,,,,,,,,0C=0000;03=0100;0B=62
56.7,2026-08-30T09:34:07.174,0.0,0100,,,0.0,,,,,,,,,0C=0000;03=0100;04=00
57.24,2026-08-30T09:34:07.714,0.0,0100,,,,0.0,,,,,,,,0C=0000;03=0100;0E=80
57.81,2026-08-30T09:34:08.284,0.0,0100,,,,,1.275,,,,,,,0C=0000;03=0100;14=FF80
58.351,2026-08-30T09:34:08.824,0.0,0100,,,,,,23,,,,,,0C=0000;03=0100;0F=3F
58.951,2026-08-30T09:34:09.425,0.0,0100,,,,,,,0.0,,,,,0C=0000;03=0100;06=80
59.49,2026-08-30T09:34:09.964,0.0,0100,,,,,,,,0.0,,,,0C=0000;03=0100;07=80
60.06,2026-08-30T09:34:10.534,0.0,0100,,,,,,,,,11.6,,,0C=0000;03=0100;42=2D50
60.601,2026-08-30T09:34:11.074,0.0,0100,,,,,,,,,,10.196,,0C=0000;03=0100;11=1A
61.171,2026-08-30T09:34:11.645,0.0,0100,,,,,,,,,,,0,0C=0000;03=0100;0D=00
61.712,2026-08-30T09:34:12.186,0.0,0100,22,,,,,,,,,,,0C=0000;03=0100;05=3E
62.251,2026-08-30T09:34:12.724,0.0,0100,,98,,,,,,,,,,0C=0000;03=0100;0B=62
62.791,2026-08-30T09:34:13.265,0.0,0100,,,0.0,,,,,,,,,0C=0000;03=0100;04=00
63.331,2026-08-30T09:34:13.805,0.0,0100,,,,0.0,,,,,,,,0C=0000;03=0100;0E=80
63.9,2026-08-30T09:34:14.374,0.0,0100,,,,,1.275,,,,,,,0C=0000;03=0100;14=FF80
64.501,2026-08-30T09:34:14.975,0.0,0100,,,,,,23,,,,,,0C=0000;03=0100;0F=3F
65.071,2026-08-30T09:34:15.545,0.0,0100,,,,,,,0.0,,,,,0C=0000;03=0100;06=80
65.611,2026-08-30T09:34:16.085,0.0,0100,,,,,,,,0.0,,,,0C=0000;03=0100;07=80
66.21,2026-08-30T09:34:16.685,0.0,0100,,,,,,,,,11.6,,,0C=0000;03=0100;42=2D50
66.811,2026-08-30T09:34:17.285,0.0,0100,,,,,,,,,,10.196,,0C=0000;03=0100;11=1A
67.35,2026-08-30T09:34:17.825,0.0,0100,,,,,,,,,,,0,0C=0000;03=0100;0D=00
67.891,2026-08-30T09:34:18.365,0.0,0100,22,,,,,,,,,,,0C=0000;03=0100;05=3E
68.432,2026-08-30T09:34:18.906,0.0,0100,,98,,,,,,,,,,0C=0000;03=0100;0B=62
68.971,2026-08-30T09:34:19.445,0.0,0100,,,0.0,,,,,,,,,0C=0000;03=0100;04=00
69.51,2026-08-30T09:34:19.985,0.0,0100,,,,0.0,,,,,,,,0C=0000;03=0100;0E=80
70.081,2026-08-30T09:34:20.555,0.0,0100,,,,,1.275,,,,,,,0C=0000;03=0100;14=FF80
70.621,2026-08-30T09:34:21.095,0.0,0100,,,,,,23,,,,,,0C=0000;03=0100;0F=3F
71.191,2026-08-30T09:34:21.665,0.0,0100,,,,,,,0.0,,,,,0C=0000;03=0100;06=80
71.731,2026-08-30T09:34:22.205,0.0,0100,,,,,,,,0.0,,,,0C=0000;03=0100;07=80
72.301,2026-08-30T09:34:22.775,0.0,0100,,,,,,,,,11.6,,,0C=0000;03=0100;42=2D50
72.871,2026-08-30T09:34:23.345,0.0,0100,,,,,,,,,,10.196,,0C=0000;03=0100;11=1A
73.44,2026-08-30T09:34:23.915,0.0,0100,,,,,,,,,,,0,0C=0000;03=0100;0D=00
74.011,2026-08-30T09:34:24.485,0.0,0100,22,,,,,,,,,,,0C=0000;03=0100;05=3E
74.671,2026-08-30T09:34:25.146,0.0,0100,,98,,,,,,,,,,0C=0000;03=0100;0B=62
75.211,2026-08-30T09:34:25.685,0.0,0100,,,,,,,,,,,,0C=0000;03=0100;04=ND
75.751,2026-08-30T09:34:26.225,0.0,0100,,,,0.0,,,,,,,,0C=0000;03=0100;0E=80
76.321,2026-08-30T09:34:26.795,0.0,0100,,,,,1.275,,,,,,,0C=0000;03=0100;14=FF80
76.891,2026-08-30T09:34:27.365,0.0,0100,,,,,,23,,,,,,0C=0000;03=0100;0F=3F
77.461,2026-08-30T09:34:27.935,0.0,0100,,,,,,,0.0,,,,,0C=0000;03=0100;06=80
78.031,2026-08-30T09:34:28.505,0.0,0100,,,,,,,,0.0,,,,0C=0000;03=0100;07=80
78.601,2026-08-30T09:34:29.075,,0100,,,,,,,,,11.6,,,0C=ND;03=0100;42=2D50
79.171,2026-08-30T09:34:29.645,0.0,0100,,,,,,,,,,10.196,,0C=0000;03=0100;11=1A
79.711,2026-08-30T09:34:30.185,0.0,0100,,,,,,,,,,,0,0C=0000;03=0100;0D=00
